idx,wind_value,wind_count,light_value,light_count,wave_value,wave_count,current_value,current_count
0,4962654.905,189,100.8496541,45,485.3900022,222,71501.61128,105
1,424133.8855,45,105.8598321,124,328.6975665,43,49752.79798,187
2,3414695.961,18,113.1989172,130,438.1380705,33,35910.75581,12
3,7346795.761,90,116.4237558,11,483.7242291,24,48819.12566,25
4,4033868.032,20,105.5786618,25,226.1068017,14,1611.378029,35
5, , ,106.0583865,19,364.8009734,10,19265.12771,1
6,659822.0753,2,115.3181502,1,220.7870018,9, , 
7,424699.4053,1,115.291498,7,379.1088445,4, , 
8, , ,104.1893127,1,545.9752679,5, , 
9, , ,111.3434701,2,, , , 
10, , , , ,633.9671289,1, , 
